Original Location,New Location,Site,Name,Side,Street,Direction,Cross Street 1,Cross Street 2,Approval Agency,Map Link,Streetview Link,Site Photo?,Comments,Take forward to Crowdsourcing?
383,51,A,S Grand Ave & W 14th St,E,S Grand Avenue,S,W 14th Street,W 15th Street,LABOE,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kZku-EYXw7pA,"https://www.google.com/maps/@34.0370095,-118.2655268,3a,63.8y,112.37h,67.07t/data=!3m6!1e1!3m4!1sB2oBi037PXWHiWdFRV1FmQ!2e0!7i13312!8i6656",Yes,Bike lane; potential conflict with billboard,Yes
384,52,A,S Figueroa St & W 18th St,W,S Figueroa Street,N,W 18th Street,W 18th Street,LABOE,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kQxMOVBF17AA,"https://www.google.com/maps/@34.0355985,-118.2712954,3a,75y,311.68h,64.11t/data=!3m6!1e1!3m4!1sWkV9ka7jNJRQC0v830FPcg!2e0!7i13312!8i6656",Yes,South of I-10 - may be removed from Phase 1; peak parking restriction,Yes
386,54,B,Willow St & Mateo St,S,Willow Street,E,Mateo Street,S Santa Fe Avenue,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kiEVSitTqC-c,"https://www.google.com/maps/@34.0391861,-118.2326035,3a,75y,134.68h,64.63t/data=!3m6!1e1!3m4!1sQP2tX0F02F7WYMona1ctVg!2e0!7i13312!8i6656",Yes,Place on-street next to bike corral,Yes
387,55,E,Mateo St & E 7th St,E,Mateo Street,N,E 7th Street,Industrial Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kSa2sP4K4Lxs,"https://www.google.com/maps/@34.0350277,-118.2323322,3a,75y,18.57h,68.26t/data=!3m6!1e1!3m4!1smBDZxqixgfh44EIabiFJzA!2e0!7i13312!8i6656",,On-street in place of parking,Yes
401,66,C,E 5th St & Wall St,,,,,,,,Show at the intersection,,"Show a general location at the intersection (could use this site on the sidewalk: https://www.google.com/maps/@34.0437231,-118.2442012,3a,37.5y,266.07h,80.76t/data=!3m6!1e1!3m4!1sCcN7s2WoX-nrI_P5bf6lwg!2e0!7i13312!8i6656)","Yes, but show a general location at the intersection"
402,67,A,Wall St & E 7th St,E,Wall Street,S,E 7th Street,E 8th Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kHH2UK_32MPc,"https://www.google.com/maps/@34.0416089,-118.2488783,3a,75y,116h,72.12t/data=!3m7!1e1!3m5!1s72HJZnt37ZqV7wj6mEiq_Q!2e0!6s%2F%2Fgeo3.ggpht.com%2Fcbk%3Fpanoid%3D72HJZnt37ZqV7wj6mEiq_Q%26output%3Dthumbnail%26cb_client%3Dmaps_sv.tactile.gps%26thumb%3D2%26w%3D203%26h%3D100%26yaw%3D11.628778%26pitch%3D0!7i13312!8i6656",,,Yes
403,68,C,S San Pedro Street & E 7th St,W,S San Pedro Street,S,E 7th Street,E 8th Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.k2BRN64ozhn8,"https://www.google.com/maps/@34.0404623,-118.2470203,3a,75y,278.35h,80.61t/data=!3m6!1e1!3m4!1smuieMggvbZqjrMquHBN6CA!2e0!7i13312!8i6656",,,Yes
404,69,B,E 11th St & Santee St,N,E 11th Street,W,Santee Street,S Los Angeles Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kzD3K0-K4Q2Y,"https://www.google.com/maps/@34.0379236,-118.2563104,3a,75y,13.37h,52.56t/data=!3m6!1e1!3m4!1sEjDSIWrWTGdAmmwWc6SjCg!2e0!7i13312!8i6656",,,Yes
405,70,A,E Pico Bvd & Santee St,N,E Pico Boulevard,W,Santee Street,S Los Angeles Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kIrULOqMp-xU,"https://www.google.com/maps/@34.0352015,-118.2583933,3a,75y,348.19h,70.41t/data=!3m6!1e1!3m4!1ssAmtxFvcvJcKlj7NI9NLYA!2e0!7i13312!8i6656",,,Yes
406,71,B,Kohler St & E 6th St,E,Kohler Street,S,E 6th Street,Wilde Street,LADOT,https://www.google.com/maps/d/u/0/edit?mid=zOHpquqdH9vM.kNwazxM_-PuY,"https://www.google.com/maps/@34.0391569,-118.2407205,3a,75y,78.68h,62.33t/data=!3m6!1e1!3m4!1sod9bKWHaYlpSAQb3sUfjng!2e0!7i13312!8i6656",,Overnight restriction,Yes
